formulation_name,symptoms,ingredients,steps,dosage,category,product_link,doctor_type,description
Trivikram Rasa,"indigestion bloating gas abdominal pain constipation","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","improves digestion relieves gas and supports bowel movement"
Udayaditya Ras,"fever infection weakness fatigue low immunity","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and improves vitality"
Unmad Gaj Kesari Ras,"mental disorders anxiety psychosis insomnia neurological weakness","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","neurologist psychiatrist","treats mental disorders calms mind and improves brain function"
Vasant Kusumakar Ras,"diabetes weakness fatigue low immunity infertility","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician endocrinologist","manages diabetes improves strength and boosts immunity"
Vasant Malti Ras,"fever chronic fever infection weakness fatigue low immunity","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and improves vitality"
Vasant Tilak Ras,"fever infection weakness fatigue low immunity","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever boosts immunity and improves strength"
Vat Gajankush Ras,"arthritis joint pain nerve pain stiffness paralysis","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician orthopedist","relieves joint pain supports nerves and improves mobility"
Vat Vidhwansan Ras,"arthritis joint pain nerve disorders paralysis stiffness","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician orthopedist","reduces pain improves mobility and supports nerves"
Vata Gajankush Ras,"arthritis joint pain nerve pain stiffness paralysis","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician orthopedist","relieves joint pain supports nerves and improves mobility"
Vatari Ras,"arthritis joint pain inflammation stiffness gout","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician orthopedist","reduces joint pain improves mobility and relieves inflammation"
Vidangadi Lauh,"anemia parasitic infection weakness fatigue indigestion","iron vidanga herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician hematologist","improves hemoglobin eliminates parasites and boosts strength"
Vishwatapharan Ras,"fever infection pain inflammation weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever relieves pain and improves vitality"
Vrihat Vangeshwar Ras,"diabetes urinary disorders reproductive issues weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician endocrinologist","manages diabetes supports urinary health and improves strength"
Vrihat Vatchintamani Ras,"neurological disorders paralysis tremors weakness anxiety","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","neurologist general physician","supports brain and nerves improves mobility and calms mind"
Yakrit Pilhari Loha,"liver disorders anemia weakness fatigue indigestion","iron herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician hepatologist","supports liver improves hemoglobin and boosts strength"
Yakuti Rasa,"fever infection weakness fatigue low immunity","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and improves vitality"
Yogendra Rasa,"neurological disorders weakness fatigue low immunity paralysis","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","neurologist general physician","supports nerves improves strength and enhances vitality"
Abhaya Vati,"constipation indigestion bloating abdominal pain toxin accumulation","haritaki herbal blend","prepare tablets from herbal mixture","250–500 mg","vati","","general physician gastroenterologist","relieves constipation improves digestion and detoxifies body"
Abhaya-Nrisingha Rasa,"respiratory problems cough asthma weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","supports lungs improves strength and relieves cough"
Abhravatika,"weakness fatigue low immunity respiratory problems","abhrak herbal blend","prepare tablets from processed ingredients","125–250 mg","vati","","general physician pulmonologist","boosts immunity improves strength and supports lungs"
Achintyashakti Rasa,"weakness fatigue low immunity chronic illness recovery","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","enhances vitality improves strength and supports recovery"
Agastyasootraaj Ras,"cough asthma bronchitis respiratory problems","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","relieves cough supports lungs and improves breathing"
Aghoranrisingha Rasa,"respiratory problems cough asthma weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","supports lungs improves strength and relieves cough"
Agnikumara Vati,"indigestion bloating gas abdominal pain poor digestion","herbal blend","prepare tablets from herbal mixture","250–500 mg","vati","","general physician gastroenterologist","improves digestion relieves gas and enhances appetite"
Agnimukh Loh,"anemia indigestion weakness fatigue low hemoglobin","iron herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician hematologist","improves hemoglobin supports digestion and boosts strength"
Agnimukh Mandoor,"anemia weakness fatigue indigestion liver disorders","mandur iron herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician hematologist","improves hemoglobin supports liver and boosts strength"
Agnisandeepan Rasa,"indigestion bloating gas abdominal pain loss of appetite","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","stimulates digestion relieves gas and improves appetite"
Agnisunu Rasa,"indigestion bloating gas abdominal pain poor digestion","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","improves digestion relieves gas and enhances appetite"
Agnitundi Vati,"indigestion bloating gas abdominal pain constipation","herbal blend","prepare tablets from herbal mixture","250–500 mg","vati","","general physician gastroenterologist","stimulates digestion relieves constipation and reduces bloating"
Ajeernakantaka Ras,"indigestion bloating gas abdominal pain poor digestion","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","improves digestion relieves gas and enhances appetite"
