formulation_name,symptoms,ingredients,steps,dosage,category,product_link,doctor_type,description,dosha
Vat Gajankush Ras,arthritis joint pain nerve pain stiffness paralysis,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician orthopedist,relieves joint pain supports nerves and improves mobility,Vata
Vat Vidhwansan Ras,arthritis joint pain nerve disorders paralysis stiffness,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician orthopedist,reduces pain improves mobility and supports nerves,Vata
Vata Gajankush Ras,arthritis joint pain nerve pain stiffness paralysis,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician orthopedist,relieves joint pain supports nerves and improves mobility,Vata
Vatari Ras,arthritis joint pain inflammation stiffness gout,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician orthopedist,reduces joint pain improves mobility and relieves inflammation,"Vata, Pitta"
Vidangadi Lauh,anemia parasitic infection weakness fatigue indigestion,iron vidanga herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician hematologist,improves hemoglobin eliminates parasites and boosts strength,Vata
Vishwatapharan Ras,fever infection pain inflammation weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever relieves pain and improves vitality,"Vata, Pitta"
Vrihat Vangeshwar Ras,diabetes urinary disorders reproductive issues weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician endocrinologist,manages diabetes supports urinary health and improves strength,Vata
Vrihat Vatchintamani Ras,neurological disorders paralysis tremors weakness anxiety,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,neurologist general physician,supports brain and nerves improves mobility and calms mind,Vata
Yakrit Pilhari Loha,liver disorders anemia weakness fatigue indigestion,iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician hepatologist,supports liver improves hemoglobin and boosts strength,Vata
Yakuti Rasa,fever infection weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and improves vitality,"Vata, Pitta"
Yogendra Rasa,neurological disorders weakness fatigue low immunity paralysis,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,neurologist general physician,supports nerves improves strength and enhances vitality,Vata
Abhaya Vati,constipation indigestion bloating abdominal pain toxin accumulation,haritaki herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,relieves constipation improves digestion and detoxifies body,Vata
Abhaya-Nrisingha Rasa,respiratory problems cough asthma weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,supports lungs improves strength and relieves cough,"Vata, Kapha"
Abhravatika,weakness fatigue low immunity respiratory problems,abhrak herbal blend,prepare tablets from processed ingredients,125–250 mg,vati,,general physician pulmonologist,boosts immunity improves strength and supports lungs,Vata
Achintyashakti Rasa,weakness fatigue low immunity chronic illness recovery,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,enhances vitality improves strength and supports recovery,Vata
Agastyasootraaj Ras,cough asthma bronchitis respiratory problems,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,relieves cough supports lungs and improves breathing,Kapha
Aghoranrisingha Rasa,respiratory problems cough asthma weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,supports lungs improves strength and relieves cough,"Vata, Kapha"
Agnikumara Vati,indigestion bloating gas abdominal pain poor digestion,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,improves digestion relieves gas and enhances appetite,Vata
Agnimukh Loh,anemia indigestion weakness fatigue low hemoglobin,iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician hematologist,improves hemoglobin supports digestion and boosts strength,Vata
Agnimukh Mandoor,anemia weakness fatigue indigestion liver disorders,mandur iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician hematologist,improves hemoglobin supports liver and boosts strength,Vata
Agnisandeepan Rasa,indigestion bloating gas abdominal pain loss of appetite,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,stimulates digestion relieves gas and improves appetite,Vata
Agnisunu Rasa,indigestion bloating gas abdominal pain poor digestion,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,improves digestion relieves gas and enhances appetite,Vata
Agnitundi Vati,indigestion bloating gas abdominal pain constipation,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,stimulates digestion relieves constipation and reduces bloating,Vata
Ajeernakantaka Ras,indigestion bloating gas abdominal pain poor digestion,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,improves digestion relieves gas and enhances appetite,Vata
Ajeernari Rasa,indigestion bloating gas abdominal pain nausea,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,relieves indigestion reduces nausea and improves appetite,Vata
Ajmodadi Vatak,indigestion bloating gas abdominal pain,ajmoda herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,improves digestion relieves gas and reduces bloating,Vata
Amalpitantak Loha,acidity indigestion burning sensation nausea vomiting,iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,reduces acidity soothes stomach and improves digestion,Pitta
Amar Sundari Vati,fever infection weakness fatigue low immunity,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician,reduces fever boosts immunity and improves strength,"Vata, Pitta"
Amrit Kalpa Vati,weakness fatigue low immunity chronic illness recovery,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician,enhances vitality improves strength and boosts immunity,Vata
Amrit Vartika Rasayan,weakness fatigue low immunity aging,herbal blend,prepare herbal compound store,250–500 mg,rasayana,,general physician,rejuvenates body improves strength and supports longevity,Vata
Amrit Vati,fever infection weakness fatigue low immunity,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician,reduces fever treats infection and improves vitality,"Vata, Pitta"
Amrita Guggul,inflammation joint pain arthritis toxin accumulation,guggulu herbal blend,prepare tablets from herbal mixture,250–500 mg,guggulu,,general physician orthopedist,reduces inflammation relieves joint pain and detoxifies body,"Vata, Pitta"
Amrita Haritaki,cough asthma constipation indigestion weakness,haritaki herbs,prepare herbal mixture process ingredients,5–10 g,avaleha,,general physician pulmonologist,supports lungs improves digestion and relieves constipation,"Vata, Kapha"
Amritankur Loha,anemia weakness fatigue low hemoglobin,iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician hematologist,improves hemoglobin treats anemia and boosts strength,Vata
Amritankur Vati,weakness fatigue low immunity chronic illness recovery,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician,enhances vitality improves strength and boosts immunity,Vata
Amritarnav Rasa,fever chronic fever infection weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and improves vitality,"Vata, Pitta"
Amritmanjari Rasa,fever infection weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever boosts immunity and improves strength,"Vata, Pitta"
Anagakusum Rasa,gynecological disorders infertility weakness fatigue hormonal imbalance,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,gynecologist,supports reproductive health balances hormones and improves strength,Vata
Anang Sunder Rasa,infertility low libido weakness fatigue reproductive disorders,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,enhances fertility improves vitality and boosts strength,Vata
Anilari Rasa,indigestion bloating gas abdominal pain,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,relieves gas improves digestion and reduces bloating,Vata
Anjana Bhairava Rasa,eye disorders infection inflammation vision problems,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,ophthalmologist,improves eye health reduces infection and enhances vision,Pitta
Anjana Gutika,eye disorders itching infection inflammation,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,ophthalmologist,treats eye infections reduces irritation and improves vision,Pitta
Anjana Prachetna Vati,eye disorders vision problems weakness,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,ophthalmologist,improves vision strengthens eyes and reduces weakness,Vata
Antrakutara Gutika,indigestion diarrhea abdominal pain bloating,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,treats digestive disorders relieves diarrhea and improves gut health,Vata
